"variable","pip","is_true","method_scenario","dataset","mechanism","imputation"
"n_r_ecg_p_02",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_03",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_04",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_05",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_06",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_08",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_09",0,FALSE,"top","MI","MAR","MICE"
"n_r_ecg_p_10",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_01",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_03",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_04",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_05",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_06",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_07",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_08",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_09",0.00179487179487179,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_10",0,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_11",0.000512820512820513,FALSE,"top","MI","MAR","MICE"
"n_p_ecg_p_12",0,FALSE,"top","MI","MAR","MICE"
"fibr_ter_01",0,FALSE,"top","MI","MAR","MICE"
"fibr_ter_02",0,FALSE,"top","MI","MAR","MICE"
"fibr_ter_03",0,FALSE,"top","MI","MAR","MICE"
"fibr_ter_05",0,FALSE,"top","MI","MAR","MICE"
"fibr_ter_06",0.000769230769230769,FALSE,"top","MI","MAR","MICE"
"fibr_ter_07",0,FALSE,"top","MI","MAR","MICE"
"fibr_ter_08",0,FALSE,"top","MI","MAR","MICE"
"GIPO_K",0,FALSE,"top","MI","MAR","MICE"
"K_BLOOD",0,FALSE,"top","MI","MAR","MICE"
"GIPER_NA",0.000512820512820513,FALSE,"top","MI","MAR","MICE"
"NA_BLOOD",0,FALSE,"top","MI","MAR","MICE"
"ALT_BLOOD",0,FALSE,"top","MI","MAR","MICE"
"AST_BLOOD",0,FALSE,"top","MI","MAR","MICE"
"KFK_BLOOD",0,FALSE,"top","MI","MAR","MICE"
"L_BLOOD",0,FALSE,"top","MI","MAR","MICE"
"ROE",0,FALSE,"top","MI","MAR","MICE"
"TIME_B_S",0,FALSE,"top","MI","MAR","MICE"
"NA_KB",0,FALSE,"top","MI","MAR","MICE"
"NOT_NA_KB",0,FALSE,"top","MI","MAR","MICE"
"LID_KB",0.00307692307692308,FALSE,"top","MI","MAR","MICE"
"NITR_S",0,FALSE,"top","MI","MAR","MICE"
"BF",NA,FALSE,"top","MI","MAR","MICE"
"PostProbs",NA,FALSE,"top","MI","MAR","MICE"
"R2",NA,FALSE,"top","MI","MAR","MICE"
"dim",NA,FALSE,"top","MI","MAR","MICE"
"logmarg",NA,FALSE,"top","MI","MAR","MICE"
"AGE",0.23025641025641,TRUE,"top","MI","MNAR","MEAN"
"SEX",0.943589743589744,TRUE,"top","MI","MNAR","MEAN"
"INF_ANAM",0.0341025641025641,TRUE,"top","MI","MNAR","MEAN"
"STENOK_AN",0.927179487179487,TRUE,"top","MI","MNAR","MEAN"
"FK_STENOK",0.117179487179487,FALSE,"top","MI","MNAR","MEAN"
"IBS_POST",0.031025641025641,FALSE,"top","MI","MNAR","MEAN"
"IBS_NASL",0.994615384615385,FALSE,"top","MI","MNAR","MEAN"
"GB",0.115384615384615,FALSE,"top","MI","MNAR","MEAN"
"SIM_GIPERT",0.139230769230769,FALSE,"top","MI","MNAR","MEAN"
"DLIT_AG",0.38025641025641,FALSE,"top","MI","MNAR","MEAN"
"ZSN_A",0.0853846153846154,FALSE,"top","MI","MNAR","MEAN"
"nr_11",0.136153846153846,FALSE,"top","MI","MNAR","MEAN"
"nr_01",0.0633333333333333,FALSE,"top","MI","MNAR","MEAN"
"nr_02",0.02,FALSE,"top","MI","MNAR","MEAN"
"nr_03",0.068974358974359,FALSE,"top","MI","MNAR","MEAN"
"nr_04",0.0215384615384615,FALSE,"top","MI","MNAR","MEAN"
"nr_07",0.0153846153846154,FALSE,"top","MI","MNAR","MEAN"
"nr_08",0.0461538461538462,FALSE,"top","MI","MNAR","MEAN"
"np_01",0.110769230769231,FALSE,"top","MI","MNAR","MEAN"
"np_04",0.0279487179487179,FALSE,"top","MI","MNAR","MEAN"
"np_05",0.0423076923076923,FALSE,"top","MI","MNAR","MEAN"
"np_07",0.0507692307692308,FALSE,"top","MI","MNAR","MEAN"
"np_08",0.028974358974359,FALSE,"top","MI","MNAR","MEAN"
"np_09",0.116153846153846,FALSE,"top","MI","MNAR","MEAN"
"np_10",0.0353846153846154,FALSE,"top","MI","MNAR","MEAN"
"endocr_01",0.192051282051282,FALSE,"top","MI","MNAR","MEAN"
"endocr_02",0.09,FALSE,"top","MI","MNAR","MEAN"
"endocr_03",0.0235897435897436,FALSE,"top","MI","MNAR","MEAN"
"zab_leg_01",0.575641025641026,FALSE,"top","MI","MNAR","MEAN"
"zab_leg_02",0.940769230769231,FALSE,"top","MI","MNAR","MEAN"
"zab_leg_03",0.374102564102564,FALSE,"top","MI","MNAR","MEAN"
"zab_leg_04",0.071025641025641,FALSE,"top","MI","MNAR","MEAN"
"zab_leg_06",0.00666666666666667,FALSE,"top","MI","MNAR","MEAN"
"S_AD_KBRIG",0.81025641025641,FALSE,"top","MI","MNAR","MEAN"
"D_AD_KBRIG",0.123333333333333,FALSE,"top","MI","MNAR","MEAN"
"S_AD_ORIT",0.0917948717948718,FALSE,"top","MI","MNAR","MEAN"
"D_AD_ORIT",0.0743589743589744,FALSE,"top","MI","MNAR","MEAN"
"O_L_POST",0.0179487179487179,FALSE,"top","MI","MNAR","MEAN"
"K_SH_POST",0.0351282051282051,FALSE,"top","MI","MNAR","MEAN"
"MP_TP_POST",0.0964102564102564,FALSE,"top","MI","MNAR","MEAN"
"SVT_POST",0.0230769230769231,FALSE,"top","MI","MNAR","MEAN"
"GT_POST",0.0384615384615385,FALSE,"top","MI","MNAR","MEAN"
"FIB_G_POST",0.145897435897436,FALSE,"top","MI","MNAR","MEAN"
"ant_im",0.04,FALSE,"top","MI","MNAR","MEAN"
"lat_im",0.248205128205128,FALSE,"top","MI","MNAR","MEAN"
"inf_im",0.0397435897435897,FALSE,"top","MI","MNAR","MEAN"
"post_im",0.0733333333333333,FALSE,"top","MI","MNAR","MEAN"
"IM_PG_P",0.123333333333333,FALSE,"top","MI","MNAR","MEAN"
"ritm_ecg_p_01",0.0494871794871795,FALSE,"top","MI","MNAR","MEAN"
"ritm_ecg_p_02",0.0233333333333333,FALSE,"top","MI","MNAR","MEAN"
"ritm_ecg_p_04",0.0343589743589744,FALSE,"top","MI","MNAR","MEAN"
"ritm_ecg_p_06",0.0215384615384615,FALSE,"top","MI","MNAR","MEAN"
"ritm_ecg_p_07",0.0535897435897436,FALSE,"top","MI","MNAR","MEAN"
"ritm_ecg_p_08",0.0107692307692308,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_01",0.0476923076923077,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_02",0.137948717948718,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_03",0.0597435897435897,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_04",0.0648717948717949,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_05",0.0402564102564103,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_06",0.0635897435897436,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_08",0.0697435897435897,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_09",0.0420512820512821,FALSE,"top","MI","MNAR","MEAN"
"n_r_ecg_p_10",0.0887179487179487,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_01",0.0374358974358974,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_03",0.0538461538461538,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_04",0.01,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_05",0.0438461538461538,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_06",0.126666666666667,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_07",0.0117948717948718,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_08",0.00435897435897436,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_09",0.0733333333333333,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_10",0.133589743589744,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_11",0.0238461538461538,FALSE,"top","MI","MNAR","MEAN"
"n_p_ecg_p_12",0.0835897435897436,FALSE,"top","MI","MNAR","MEAN"
"fibr_ter_01",0.0128205128205128,FALSE,"top","MI","MNAR","MEAN"
"fibr_ter_02",0.0579487179487179,FALSE,"top","MI","MNAR","MEAN"
"fibr_ter_03",0.465128205128205,FALSE,"top","MI","MNAR","MEAN"
"fibr_ter_05",0.0376923076923077,FALSE,"top","MI","MNAR","MEAN"
"fibr_ter_06",0.496666666666667,FALSE,"top","MI","MNAR","MEAN"
"fibr_ter_07",0.182051282051282,FALSE,"top","MI","MNAR","MEAN"
"fibr_ter_08",0.0261538461538462,FALSE,"top","MI","MNAR","MEAN"
"GIPO_K",0.0687179487179487,FALSE,"top","MI","MNAR","MEAN"
"K_BLOOD",0.0876923076923077,FALSE,"top","MI","MNAR","MEAN"
"GIPER_NA",0.00692307692307692,FALSE,"top","MI","MNAR","MEAN"
"NA_BLOOD",0.278717948717949,FALSE,"top","MI","MNAR","MEAN"
"ALT_BLOOD",0.436153846153846,FALSE,"top","MI","MNAR","MEAN"
"AST_BLOOD",0.0976923076923077,FALSE,"top","MI","MNAR","MEAN"
"KFK_BLOOD",0.0176923076923077,FALSE,"top","MI","MNAR","MEAN"
"L_BLOOD",0.0407692307692308,FALSE,"top","MI","MNAR","MEAN"
"ROE",0.914358974358974,FALSE,"top","MI","MNAR","MEAN"
"TIME_B_S",0.0830769230769231,FALSE,"top","MI","MNAR","MEAN"
"NA_KB",0.122307692307692,FALSE,"top","MI","MNAR","MEAN"
"NOT_NA_KB",0.286923076923077,FALSE,"top","MI","MNAR","MEAN"
"LID_KB",0.0374358974358974,FALSE,"top","MI","MNAR","MEAN"
"NITR_S",0.0392307692307692,FALSE,"top","MI","MNAR","MEAN"
"BF",NA,FALSE,"top","MI","MNAR","MEAN"
"PostProbs",NA,FALSE,"top","MI","MNAR","MEAN"
"R2",NA,FALSE,"top","MI","MNAR","MEAN"
"dim",NA,FALSE,"top","MI","MNAR","MEAN"
